number,date,username,issue_name,issue_url,closed_at,closed_by,labels,milestone,comment_username,comment_date,comment_contents
1194,2025-12-01T17:51:44Z,asoplata,MAINT/SCI: Clarify model version differences,https://github.com/jonescompneurolab/hnn-core/issues/1194,,,science,,,,
1193,2025-12-01T03:55:58Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1193,2025-12-01T15:02:05Z,asoplata,,,,,
1189,2025-11-14T17:31:39Z,asoplata,maint: Add Python 3.14 support,https://github.com/jonescompneurolab/hnn-core/issues/1189,,,,,,,
1186,2025-11-07T15:48:10Z,asoplata,MAINT: Add links in MOD files to ModelDB,https://github.com/jonescompneurolab/hnn-core/issues/1186,,,,,,,
1182,2025-11-04T20:26:03Z,asoplata,CLOUD: Google CoLab version issues,https://github.com/jonescompneurolab/hnn-core/issues/1182,,,cloud/containerization,,,,
1179,2025-11-01T03:15:57Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1179,2025-11-05T23:29:37Z,asoplata,,,,,
1171,2025-10-24T14:54:20Z,asoplata,TEST: Parallelize Windows tests with pytest-xdist,https://github.com/jonescompneurolab/hnn-core/issues/1171,2025-11-06T18:03:38Z,asoplata,,,asoplata,2025-11-06T18:03:38Z,Resolved in #1173
1167,2025-10-22T16:07:39Z,asoplata,VIZ: plot_lfp and plot_csd should display depth units (um) in plots,https://github.com/jonescompneurolab/hnn-core/issues/1167,,,"good first issue, visualization",,,,
1166,2025-10-22T14:58:05Z,asoplata,"GUI: For n_trials>1, spectrogram should show average of all spectrograms (in freq domain)",https://github.com/jonescompneurolab/hnn-core/issues/1166,,,gui,,,,
1165,2025-10-22T14:41:22Z,asoplata,GUI: Add scientific units to GUI where missing,https://github.com/jonescompneurolab/hnn-core/issues/1165,,,gui,,,,
1164,2025-10-22T14:32:39Z,asoplata,TEST/CI: Test using progressive imports,https://github.com/jonescompneurolab/hnn-core/issues/1164,,,"good first issue, testing",,,,
1163,2025-10-22T14:21:59Z,asoplata,"GUI: Print errors to top, not bottom, of log window",https://github.com/jonescompneurolab/hnn-core/issues/1163,,,gui,,,,
1157,2025-10-08T19:29:46Z,asoplata,BUG: GUI vs API simulation not identical,https://github.com/jonescompneurolab/hnn-core/issues/1157,,,,,,,
