time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,10,8,3,3
2026-06-14 00:00:00+00:00,3,1,0,0
2026-06-15 00:00:00+00:00,3,2,1,1
2026-06-16 00:00:00+00:00,19,17,0,0
2026-06-17 00:00:00+00:00,8,6,2,2
2026-06-18 00:00:00+00:00,2,1,2,2
2026-06-19 00:00:00+00:00,10,8,1,1
2026-06-20 00:00:00+00:00,3,2,0,0
2026-06-21 00:00:00+00:00,14,10,1,1
2026-06-22 00:00:00+00:00,11,9,2,2
2026-06-23 00:00:00+00:00,6,5,2,2
2026-06-24 00:00:00+00:00,7,5,6,2
2026-06-25 00:00:00+00:00,3,2,11,11
2026-06-26 00:00:00+00:00,10,7,41,34
