time_iso8601,stargazers_cumulative_snapshot
2023-09-30 23:01:12+00:00,68
2023-10-03 23:01:28+00:00,69
2023-10-09 23:01:10+00:00,70
2023-10-24 23:01:11+00:00,71
2023-11-01 23:01:24+00:00,72
2023-11-11 23:01:16+00:00,73
2024-01-15 23:01:59+00:00,74
2024-02-22 23:01:50+00:00,75
2024-03-05 23:01:15+00:00,76
2024-05-14 23:01:33+00:00,77
2024-06-04 23:07:00+00:00,78
2024-06-18 23:01:02+00:00,77
2024-09-06 23:00:59+00:00,78
2024-10-15 23:07:05+00:00,80
2024-11-14 23:08:02+00:00,81
2024-12-12 23:08:12+00:00,82
2025-01-14 23:05:03+00:00,83
2025-01-26 23:01:42+00:00,84
